model,mae,rmse,r2
Linear,0.6704444002971117,0.7601235626537374,-0.046581840728254775
Ridge_best,0.6589386728533755,0.7469939801533342,-0.021252162023734894
Polynomial_Ridge,0.6499341409907886,0.7454322876851032,-0.01866636371030672
